date,repository,versionBefore,versionNow
2019-01-29,ulyant/MyStoreTest,<new>,3.17
2019-01-29,mustafabacchus/MercuryTours_Framework,<new>,4.0.0
2019-01-29,NARH/poi_example001,<new>,3.13
2019-01-28,snovshadyan/Free-CRM,<new>,4.0.1
2019-01-28,Shashankvgithub/SeleniumProjects,<new>,3.6
2019-01-27,cuba-platform/fts,<new>,bom.getVersion(
2019-01-27,Acteur1116/HjyGameApi,<new>,3.16
2019-01-27,SqaSxd/classes-project,<new>,3.16
2019-01-27,phuongtailtranminh/xchart-poi-demo,<new>,4.0.1
2019-01-27,shivam220791/ApplicationTest,<new>,4.0.1
2019-01-27,Keith-Nirvana/SAhw3,<new>,3.14
2019-01-27,saikrishna89/POM_Netflix,<new>,3.15
2019-01-26,xiazunyang/LocalizationTools,<new>,3.15
2019-01-26,Tejas-10/TejasQA,<new>,3.16-beta2
2019-01-26,rahulmen/MultiThreading,<new>,3.16-beta2
2019-01-25,ahammedSorifRana/AD_SeleniumEasy,<new>,3.17
2019-01-25,renoldrl/check,<new>,1.0-beta
2019-01-24,Gameb0ii/GoTools,<new>,3.16
2019-01-24,ahammedSorifRana/AA_seleniumTest,<new>,3.17
2019-01-24,kavya9990/kavya,<new>,4.0.1
2019-01-24,jainishkpd/Testing,3.15,4.0.0
2019-01-24,Bhargavi2402/pommodelproject,<new>,3.16-beta2
2019-01-24,Jatnu/CRMMaven_Project,<new>,3.16-beta2
2019-01-24,Azmeergit/seleniumByazmeer,<new>,3.16-beta2
2019-01-24,Suvneet/restAPI,<new>,3.16-beta2
2019-01-23,natuty/LuceneSearch,<new>,4.0.1
2019-01-23,sumin0407/SoS-simulation-engine,<new>,4.0.0
2019-01-23,gideonaina/pos-project,<new>,3.15
2019-01-23,binduautmn/RestAPI,<new>,3.16-beta2
2019-01-22,Jissgeorge55/YourlogoSeleniumProject,<new>,3.16
2019-01-22,seregamazur/CarpatiansMail,<new>,4.0.1
2019-01-22,chaiva/FreeCRMRepo,<new>,3.16-beta2
2019-01-21,gwdgithubnom/pig-chivalrous,3.14,noVersion
2019-01-21,dtchin2/rocky_trucking_app_2019,<new>,4.0.1
2019-01-21,fafeidou/fast-spring-flux,<new>,3.10
2019-01-21,julakanti/pageobjectmodel,<new>,3.16-beta2
2019-01-20,xuejike/word-tpl,<new>,4.0.1
2019-01-20,AndreiOprisan94/ppt-to-word,<new>,4.0.1
2019-01-20,jkoracle23/junkrepo,<new>,1.0-beta
2019-01-20,lpgph/java,<new>,3.9
2019-01-20,owenhuangxj/crm,<new>,3.8
2019-01-20,NaphadeN/TestProject1,<new>,3.16-beta2
2019-01-19,mfaisalkhatri/seleniumExcelTest,<new>,3.16
2019-01-19,ummulmukta/masterframework,<new>,3.17
2019-01-19,Vnky45/Sample,<new>,3.17
2019-01-19,xuejike/world-tpl-script,<new>,4.0.1
2019-01-19,AdamCarroll/temp-santulator,<new>,4.0.1
2019-01-19,Sudhir466/FreeCRM,<new>,4.0.1
2019-01-19,PinPinErKeJi/panyuprojectims,<new>,3.10
2019-01-19,baichangda/WxTest,<new>,+
2019-01-19,SamadhanSonwane/gmail-test,<new>,3.16-beta2
2019-01-18,FreshSnack/demo4j,<new>,3.16
2019-01-18,coder-wh/LVMENG_QM,<new>,3.16
2019-01-18,duban2692/ProyectoBase,<new>,3.17
2019-01-18,Jaishankar0707/LearnBDD-Cucumber,<new>,3.17
2019-01-18,Jaishankar0707/TestNG_POM,<new>,4.0.1
2019-01-18,AaronGm/arcasystem,<new>,4.0.1
2019-01-18,SweetRadish/GdeiAssistant,<new>,4.0.0
2019-01-18,TestLeafPages/SelJan,<new>,4.0.0
2019-01-18,Hmonir/MyRepo,<new>,3.16-beta2
2019-01-17,mfelipeac/Demo,3.17,4.0.0
2019-01-16,lsieun/learn-open_source,<new>,3.17
2019-01-16,MuklesurRahamna/FreeCRMAutomationTest,<new>,4.0.1
2019-01-16,Rahul-Upadhyay/Framework,<new>,4.0.0
2019-01-16,ksvas8989/movieRecommendation,<new>,3.15
2019-01-15,Zhaituona/Framework,<new>,noVersion
2019-01-15,wang0007/question-system,<new>,3.16
2019-01-15,gariem/spock-utils,<new>,3.17
2019-01-15,StoneRelax/stone,<new>,3.17
2019-01-15,wye6208/TWDTP,<new>,3.12
2019-01-14,Zhaituona/Framwork2,<new>,noVersion
2019-01-14,lijobs/poiAnalysisExeclToCsv,<new>,3.17
2019-01-14,dmohapatra10/CucumberPro,<new>,3.17
2019-01-14,yasz/helper,<new>,3.17
2019-01-14,Teliang/brs,3.10.1,4.0.1
2019-01-14,gtxcontentconnector/contentconnector,<new>,3.9
2019-01-14,vigour0423/ddlall,<new>,3.14
2019-01-14,sonic700/javaProject,<new>,3.14
2019-01-14,dairuijie/excelZip,<new>,3.15
2019-01-13,shaohj/spring-boot-common-modules,<new>,3.16
2019-01-13,JodhGaurav/JenkinsTraining,<new>,3.16
2019-01-13,yuyuwangyi/utils,<new>,3.17
2019-01-13,lujunweiblack/learning-manager,<new>,3.17
2019-01-13,yangdaodao92/common-tools,<new>,3.14
2019-01-13,singhson/DemoRepo,<new>,3.16-beta2
2019-01-13,ankittt07/freecrmdemo,<new>,3.16-beta2
2019-01-12,quangtn106/auto_research,<new>,3.17
2019-01-12,rossetti/JSL,<new>,3.17
2019-01-12,SrinivasSubramaniam/Personal,<new>,4.0.0
2019-01-12,kkaok/refactoring,<new>,3.7
2019-01-12,Saumyadip09/TestR,<new>,3.2
2019-01-12,UniversityofWarwick/tabula,<new>,${poiVersion}
2019-01-12,snehaautomation/POM,<new>,3.16-beta2
2019-01-12,murtaza9teen91/UnationWebAutomationFramework,<new>,3.16-beta2
2019-01-12,shaiktest111/firstproject,<new>,3.16-beta2
2019-01-11,WestbrookWang/ViewOffice,<new>,3.16
2019-01-11,AC-MicroServiceClub/FrameworkParentBackend,<new>,3.17
2019-01-11,cas-bigdatalab/datasync,3.10,3.17
2019-01-11,newmum/platform,<new>,3.9
2019-01-11,kvmorozov/sweets,<new>,3.11
2019-01-11,AndyWannaSing/java-excel,<new>,3.15
2019-01-11,devi12345/FREECRMTEST,<new>,3.16-beta2
2019-01-11,saiprasadchigullapally/DataDrivenApprochLoginTest,<new>,3.16-beta2
2019-01-10,Gunnampalli/EclipseTutorial,<new>,3.16
2019-01-10,XuCpeng/j2ee,<new>,3.17
2019-01-10,VineelaKonidina/DemoRepo,<new>,4.0.1
2019-01-10,aiyaz1/TestGcpReportingTool,<new>,4.0.1
2019-01-10,karthispirit/FreeCRMTest,<new>,4.0.0
2019-01-10,xGiz/word-proccessor,<new>,4.0.0
2019-01-10,longs-wong/java.demo,<new>,3.9
2019-01-10,bhavneetagrawal/Selenium-Framework,<new>,3.16-beta2
2019-01-09,gunten/gunten-commons,<new>,3.17
2019-01-09,atishojha/Maven_TestNGProject,<new>,3.17
2019-01-09,shudongping/cloudplatform-upms,<new>,4.0.0
2019-01-09,SrinivasSubramaniam/Practice,<new>,4.0.0
2019-01-09,pradeepbrucelee/mygeotracking,<new>,4.0.0
2019-01-09,SweetRadish/GdeiAssistant-WebApp,<new>,4.0.0
2019-01-09,contentkart/selenium,<new>,3.16-beta2
2019-01-09,durgasish/gitdemo,<new>,3.16-beta2
2019-01-08,yiyan1992/LsLearn,<new>,4.0.1
2019-01-08,Santulator/Santulator,4.0.0,4.0.1
2019-01-08,erichanson5/NiFi---1,<new>,4.0.0
2019-01-08,CatXer/Rvuz,<new>,3.9
2019-01-08,reshqa/DemoRepo,<new>,3.9
2019-01-08,elastic/elasticsearch,<new>,${versions.poi}
2019-01-08,yanghaiyan/javaTools,<new>,3.12
2019-01-08,yangxq5858/ocss-infrastructure,<new>,3.15
2019-01-07,omiorg/first,<new>,3.17
2019-01-07,Mani20994/POM-Framework,<new>,4.0.1
2019-01-07,zhoujian-GitHub/Orion,<new>,3.12
2019-01-06,jogindernitk/Solutions,<new>,3.17
2019-01-06,gariem/appium-demo,<new>,3.17
2019-01-05,woo0woon/eto,<new>,4.0.1
2019-01-05,zakiya113/CRM,<new>,4.0.1
2019-01-05,wangxx114691/pinyougou-new,<new>,3.11
2019-01-04,wyjseraphim/yst-framework,<new>,noVersion
2019-01-04,Binigithub/Cucumber,<new>,4.0.1
2019-01-04,13032463571/HRTools,<new>,4.0.1
2019-01-03,yinwei99/demo002,<new>,3.16
2019-01-03,rajtheinnovator/APIs,<new>,3.17
2019-01-03,PradeepArora/Selenium,<new>,4.0.1
2019-01-03,MelyJram/proyecto2,<new>,3.9
2019-01-03,githubhasan/ReadExcellSheetAndLogIntoBrowser,<new>,3.16-beta2
2019-01-03,garlapatiVijay/VJ_FreeCRMAutomationPOM,<new>,3.16-beta2
2019-01-02,illiacdev/hibernate,<new>,3.17
2019-01-02,sudhabalakrishnan/Flipkart,<new>,3.17
2019-01-02,swaroopaDeshpande/Hybrid_FW,<new>,3.16-beta2
2019-01-01,NayeemJohnY/PageObjectModel,<new>,3.17
2019-01-01,admiog/freeCRMTest,<new>,4.0.0
2019-01-01,admiog/ImogimTest,<new>,4.0.0
2019-01-01,admiog/myFreeCRMTest,<new>,4.0.0
2019-01-01,Bablu506kumar506prasad506/PHFI_StudyCreation,<new>,3.11
2018-12-31,NayeemJohnY/FreeCRMPageObjectModel,<new>,3.17
2018-12-31,rajaram0077/Vijji_Training,<new>,3.17
2018-12-31,Nandhinivarma/selnov,<new>,4.0.0
2018-12-31,archananew/SeleniumProject2,<new>,4.0.0
2018-12-31,jayatrello/SelNov,3.17,4.0.0
2018-12-31,CatXer/Kosigin-R,<new>,3.9
2018-12-31,Luv2C0de/keeper-web-test,<new>,3.16-beta2
2018-12-30,jayatrello/SelNov,<new>,3.17
2018-12-30,Abhilashaicloud/build-with-version-controlling,<new>,3.17
2018-12-30,DaBearsCodeMonkey/project-phoenix,<new>,4.0.0
2018-12-29,exploreGo/Test01,<new>,3.17
2018-12-29,kapilsachdeva21/PAGE_OBJECT_MODEL,<new>,3.9
2018-12-29,zhaozhikang157/suanzao-live,<new>,3.13
2018-12-29,offves/weather,<new>,3.14
2018-12-29,cdharmale30/FrontAcounting,<new>,3.16-beta2
